,resort,precipitation,temp_max,temp_min,wind
163,resort #164,0.8,18.3,12.8,3.9
164,resort #165,0.0,16.1,11.1,4.3
165,resort #166,0.0,17.2,10.0,2.7
166,resort #167,0.0,22.2,9.4,1.7
167,resort #168,0.0,21.1,15.0,4.1
168,resort #169,0.0,18.9,11.7,6.4
169,resort #170,3.0,17.2,10.0,3.8
170,resort #171,1.0,19.4,10.0,3.0
171,resort #172,0.0,24.4,10.0,3.0
172,resort #173,0.0,23.9,11.7,2.1
173,resort #174,15.7,13.9,11.7,1.9
174,resort #175,8.6,15.6,9.4,2.5
175,resort #176,0.0,19.4,9.4,2.0
176,resort #177,0.5,19.4,11.1,3.1
177,resort #178,0.0,18.3,10.6,3.4
178,resort #179,0.0,22.8,8.9,1.8
179,resort #180,0.0,22.2,11.7,2.5
180,resort #181,0.3,21.7,15.0,1.9
181,resort #182,3.0,20.0,13.3,2.4
182,resort #183,0.0,20.0,12.2,2.3
183,resort #184,2.0,18.9,11.7,2.1
184,resort #185,5.8,18.3,10.6,6.0
185,resort #186,0.0,20.6,9.4,3.8
186,resort #187,0.0,24.4,10.6,3.1
187,resort #188,0.0,25.0,11.1,2.1
188,resort #189,0.0,26.7,12.8,3.8
189,resort #190,0.0,28.3,14.4,2.8
190,resort #191,1.5,25.0,12.8,2.0
191,resort #192,0.0,23.9,11.1,2.3
192,resort #193,0.0,27.8,13.3,2.9
193,resort #194,0.0,25.6,13.3,2.7
194,resort #195,0.5,23.3,13.9,2.2
195,resort #196,0.0,25.0,15.0,2.2
196,resort #197,0.0,18.9,13.3,3.8
197,resort #198,0.3,26.1,13.3,2.5
198,resort #199,0.0,21.7,15.0,2.6
199,resort #200,0.0,21.1,14.4,2.9
200,resort #201,0.0,25.0,14.4,2.2
201,resort #202,15.2,19.4,13.9,4.0
202,resort #203,0.0,23.9,13.9,2.3
203,resort #204,1.0,20.6,12.2,3.9
204,resort #205,0.0,18.9,11.1,3.3
205,resort #206,0.0,23.3,12.2,4.3
206,resort #207,0.0,26.7,12.8,2.6
207,resort #208,0.0,25.6,12.8,2.2
208,resort #209,0.0,18.9,13.9,2.8
209,resort #210,0.0,22.2,13.3,1.7
210,resort #211,0.0,22.8,15.0,2.0
211,resort #212,0.0,19.4,13.3,3.0
212,resort #213,0.0,22.8,13.9,2.8
213,resort #214,0.0,23.9,13.3,2.2
214,resort #215,0.0,23.3,12.2,2.5
215,resort #216,0.0,27.2,12.8,3.9
216,resort #217,0.0,33.9,16.7,3.7
217,resort #218,0.0,33.9,17.8,1.9
218,resort #219,0.0,28.3,15.6,2.5
219,resort #220,0.0,21.1,15.0,2.6
220,resort #221,0.0,22.2,15.0,3.1
221,resort #222,0.0,24.4,14.4,3.8
222,resort #223,0.0,25.6,12.2,2.3
223,resort #224,0.0,28.3,13.3,2.5
224,resort #225,0.0,30.6,15.0,3.0
225,resort #226,0.0,30.6,15.0,2.8
226,resort #227,0.0,28.9,13.9,2.8
227,resort #228,0.0,31.1,16.7,4.7
228,resort #229,0.0,34.4,18.3,2.8
229,resort #230,0.0,32.8,16.1,1.8
230,resort #231,0.0,21.7,14.4,3.0
231,resort #232,0.0,23.3,15.0,2.7
232,resort #233,0.0,25.6,15.0,1.9
233,resort #234,0.0,23.3,13.3,3.0
234,resort #235,0.0,22.2,13.3,2.3
235,resort #236,0.0,21.1,13.9,3.8
236,resort #237,0.0,22.2,10.0,3.3
237,resort #238,0.0,26.1,11.7,3.2
238,resort #239,0.0,21.1,12.2,3.4
239,resort #240,0.0,23.9,13.3,1.8
240,resort #241,0.0,22.8,12.2,3.2
241,resort #242,0.0,22.8,13.3,2.4
242,resort #243,0.0,22.8,12.8,1.9
243,resort #244,0.0,22.2,10.6,2.9
244,resort #245,0.0,21.7,10.6,2.1
245,resort #246,0.0,21.1,10.0,2.0
246,resort #247,0.0,22.8,12.8,3.3
247,resort #248,0.0,24.4,11.1,3.1
248,resort #249,0.0,26.1,11.7,2.6
249,resort #250,0.0,28.3,14.4,4.2
250,resort #251,0.0,32.2,13.3,3.1
251,resort #252,0.0,25.0,13.3,3.0
252,resort #253,0.3,18.9,13.9,5.0
253,resort #254,0.3,20.0,11.7,3.9
254,resort #255,0.0,20.0,8.9,4.2
255,resort #256,0.0,22.2,10.0,5.6
256,resort #257,0.0,27.8,11.7,3.6
257,resort #258,0.0,26.1,11.1,1.5
258,resort #259,0.0,22.2,11.1,1.9
259,resort #260,0.0,24.4,9.4,2.3
260,resort #261,0.0,27.8,11.7,2.2
261,resort #262,0.0,27.8,11.7,1.4
262,resort #263,0.0,23.9,11.7,1.9
263,resort #264,0.0,19.4,10.0,2.5
264,resort #265,0.0,16.1,12.8,2.1
265,resort #266,0.3,19.4,11.7,1.1
266,resort #267,0.0,19.4,10.0,1.4
267,resort #268,0.0,21.1,10.0,1.8
268,resort #269,0.0,19.4,11.1,1.7
269,resort #270,0.0,19.4,9.4,1.7
270,resort #271,0.0,22.8,10.0,1.7
271,resort #272,0.0,25.0,12.2,1.1
272,resort #273,0.0,20.6,12.2,4.3
273,resort #274,0.0,21.1,7.8,3.1
274,resort #275,0.0,23.3,8.9,3.0
275,resort #276,0.0,17.8,10.0,4.1
276,resort #277,0.0,18.9,7.8,7.3
277,resort #278,0.0,18.9,8.3,6.5
278,resort #279,0.0,21.7,8.9,5.7
279,resort #280,0.0,23.9,7.8,5.1
280,resort #281,0.0,23.9,7.8,1.3
281,resort #282,0.0,21.1,7.8,1.9
282,resort #283,0.0,16.1,8.9,1.6
283,resort #284,0.0,12.2,8.3,1.4
284,resort #285,0.0,13.9,7.2,1.3
285,resort #286,2.0,13.9,8.9,4.6
286,resort #287,4.8,15.6,12.2,3.9
287,resort #288,16.5,17.8,13.3,3.4
288,resort #289,7.9,17.2,11.1,4.6
289,resort #290,0.0,16.1,8.3,5.5
290,resort #291,0.0,14.4,6.1,1.6
291,resort #292,20.8,17.8,6.7,2.0
292,resort #293,4.8,15.0,9.4,5.3
293,resort #294,0.5,11.1,6.1,5.7
294,resort #295,6.4,11.7,4.4,2.7
295,resort #296,8.9,7.8,3.3,2.6
296,resort #297,0.0,11.1,5.6,3.0
297,resort #298,7.1,11.7,6.1,2.1
298,resort #299,0.0,11.7,6.7,1.5
299,resort #300,1.5,11.1,7.2,2.5
300,resort #301,23.1,14.4,9.4,5.1
301,resort #302,6.1,14.4,10.0,3.8
302,resort #303,10.9,15.6,10.0,4.9
303,resort #304,34.5,15.0,12.2,2.8
304,resort #305,14.5,15.6,11.1,2.7
305,resort #306,9.7,15.0,10.6,3.0
306,resort #307,5.6,15.0,10.6,1.0
307,resort #308,0.5,15.6,11.1,3.6
308,resort #309,8.1,17.8,12.8,3.8
309,resort #310,0.8,15.0,7.8,4.0
310,resort #311,0.3,12.8,6.7,3.5
311,resort #312,0.0,12.2,3.9,3.4
312,resort #313,0.0,10.0,1.1,3.4
313,resort #314,0.0,8.9,1.1,2.0
314,resort #315,0.0,7.8,-0.6,2.2
315,resort #316,15.2,8.9,1.1,3.0
316,resort #317,3.6,12.8,6.1,3.0
317,resort #318,5.3,11.1,7.8,2.5
318,resort #319,0.8,11.1,5.0,2.6
319,resort #320,0.0,9.4,2.8,2.4
320,resort #321,5.6,9.4,2.2,1.6
321,resort #322,6.1,12.2,6.1,5.3
322,resort #323,7.9,10.0,6.1,4.9
323,resort #324,54.1,13.3,8.3,6.0
324,resort #325,3.8,11.1,7.2,4.2
325,resort #326,11.2,8.3,3.9,5.5
326,resort #327,0.0,8.9,2.8,1.5
327,resort #328,32.0,9.4,6.1,2.4
328,resort #329,0.0,8.9,3.9,1.2
329,resort #330,0.0,8.3,1.1,3.6
330,resort #331,0.0,9.4,1.7,3.8
331,resort #332,0.0,10.0,1.7,1.5
332,resort #333,2.8,9.4,2.2,2.9
333,resort #334,1.5,12.8,7.8,4.2
334,resort #335,35.6,15.0,7.8,4.6
335,resort #336,4.1,13.3,8.3,5.5
336,resort #337,19.6,8.3,7.2,6.2
337,resort #338,13.0,9.4,7.2,4.4
338,resort #339,14.2,11.7,7.2,6.2
339,resort #340,1.5,8.9,4.4,5.0
340,resort #341,1.5,7.2,6.1,5.1
341,resort #342,1.0,7.8,3.3,4.6
342,resort #343,0.0,6.7,3.3,2.0
343,resort #344,1.5,6.7,2.8,2.1
344,resort #345,0.5,7.2,5.6,1.8
345,resort #346,3.0,7.8,5.6,4.5
346,resort #347,8.1,6.7,4.4,2.0
347,resort #348,2.3,7.2,3.3,2.8
348,resort #349,7.9,6.1,1.1,1.7
349,resort #350,5.3,4.4,0.6,5.1
350,resort #351,22.6,6.7,3.3,5.5
351,resort #352,2.0,8.3,1.7,9.5
352,resort #353,3.3,3.9,0.6,5.3
353,resort #354,13.7,8.3,1.7,5.8
354,resort #355,13.2,7.2,0.6,3.7
355,resort #356,1.8,8.3,-1.7,1.7
356,resort #357,3.3,8.3,3.9,3.5
357,resort #358,6.6,7.2,3.3,2.5
358,resort #359,0.3,5.6,2.8,2.8
359,resort #360,13.5,5.6,2.8,4.2
360,resort #361,4.6,6.7,3.3,4.9
361,resort #362,4.1,7.8,3.3,3.2
362,resort #363,0.0,8.3,3.9,1.7
363,resort #364,1.5,5.0,3.3,1.7
364,resort #365,0.0,4.4,0.0,1.8
365,resort #366,0.0,3.3,-1.1,2.0
366,resort #367,0.0,5.0,-2.8,2.7
367,resort #368,0.0,6.1,-1.1,3.2
368,resort #369,4.1,6.7,-1.7,3.0
369,resort #370,2.5,10.0,2.2,2.8
370,resort #371,3.0,6.7,4.4,3.1
371,resort #372,2.0,7.2,2.8,3.0
372,resort #373,2.3,10.0,4.4,7.3
373,resort #374,16.3,11.7,5.6,6.3
374,resort #375,38.4,10.0,1.7,5.1
375,resort #376,0.3,3.3,-0.6,2.1
376,resort #377,0.0,2.8,-2.8,1.9
377,resort #378,0.0,2.8,-3.9,2.0
378,resort #379,0.0,2.2,-4.4,1.5
379,resort #380,0.0,3.3,-2.2,1.3
380,resort #381,0.0,6.7,-0.6,2.3
381,resort #382,0.0,6.1,-3.9,1.8
382,resort #383,0.0,3.9,-2.8,1.0
383,resort #384,0.0,3.3,-1.1,1.3
384,resort #385,0.0,1.1,-0.6,1.9
385,resort #386,0.0,3.3,-0.6,2.1
386,resort #387,0.0,2.2,-1.7,1.1
387,resort #388,0.0,3.3,-1.7,0.6
388,resort #389,5.1,7.2,2.2,3.1
389,resort #390,5.8,7.2,1.1,2.6
390,resort #391,3.0,10.6,2.8,2.1
391,resort #392,2.3,8.3,3.9,4.5
392,resort #393,1.8,5.6,3.9,4.5
393,resort #394,7.9,6.1,3.3,3.2
394,resort #395,4.3,8.3,5.0,3.9
395,resort #396,3.6,8.9,6.7,3.9
396,resort #397,3.0,9.4,7.2,4.0
397,resort #398,0.3,11.7,5.0,2.9
398,resort #399,0.0,6.1,2.8,2.0
399,resort #400,2.3,8.9,2.8,2.9
400,resort #401,0.0,10.6,6.7,2.6
401,resort #402,3.3,10.0,6.7,5.1
402,resort #403,1.0,10.6,6.1,4.5
403,resort #404,1.3,9.4,3.3,4.1
404,resort #405,0.0,7.8,2.2,1.3
405,resort #406,0.3,8.3,4.4,1.3
406,resort #407,0.0,8.9,1.7,2.0
407,resort #408,0.3,8.3,4.4,1.4
408,resort #409,1.0,11.1,7.2,5.6
409,resort #410,2.3,9.4,7.2,4.1
410,resort #411,1.0,9.4,5.6,2.2
411,resort #412,0.0,13.3,5.0,2.4
412,resort #413,0.0,11.1,3.9,5.6
413,resort #414,0.0,9.4,4.4,3.4
414,resort #415,0.0,7.8,3.9,1.9
415,resort #416,0.0,10.6,1.7,3.4
416,resort #417,1.5,7.8,1.1,2.1
417,resort #418,0.5,6.7,3.9,6.2
418,resort #419,9.4,7.8,3.9,8.1
419,resort #420,0.3,10.0,3.9,4.6
420,resort #421,0.0,8.9,5.0,5.5
421,resort #422,2.3,10.6,3.3,7.1
422,resort #423,0.5,8.9,3.9,3.8
423,resort #424,4.6,10.0,4.4,1.8
424,resort #425,8.1,11.7,6.7,3.8
425,resort #426,4.1,15.0,11.1,5.4
426,resort #427,0.8,13.9,5.0,4.5
427,resort #428,0.0,11.1,2.2,2.8
428,resort #429,0.0,13.3,0.0,3.9
429,resort #430,0.0,9.4,6.1,2.4
430,resort #431,11.9,7.2,5.0,4.1
431,resort #432,7.4,12.2,5.0,2.5
432,resort #433,0.0,11.7,2.2,2.6
433,resort #434,0.0,12.8,1.1,1.3
434,resort #435,0.8,7.8,3.9,1.6
435,resort #436,1.3,10.6,6.1,1.1
436,resort #437,2.0,12.8,10.0,5.7
437,resort #438,2.3,11.7,9.4,3.7
438,resort #439,2.8,11.7,9.4,3.0
439,resort #440,0.0,14.4,8.9,4.3
440,resort #441,4.3,10.6,4.4,6.4
441,resort #442,0.0,8.9,3.9,6.1
442,resort #443,0.0,11.7,3.9,5.9
443,resort #444,11.7,12.8,1.7,3.4
444,resort #445,9.9,11.1,4.4,7.6
445,resort #446,8.1,10.0,2.2,4.9
446,resort #447,0.0,9.4,0.6,2.2
447,resort #448,0.0,10.0,1.1,2.6
448,resort #449,0.0,12.2,0.6,2.1
449,resort #450,0.0,16.7,4.4,2.8
450,resort #451,0.0,16.7,6.1,1.7
451,resort #452,0.3,13.3,7.2,1.6
452,resort #453,2.0,16.1,8.3,1.3
453,resort #454,0.0,18.3,7.8,2.5
454,resort #455,0.0,20.0,5.6,4.4
455,resort #456,0.0,20.6,6.7,2.9
456,resort #457,0.0,17.2,8.3,3.6
457,resort #458,0.0,13.9,8.9,2.2
458,resort #459,0.0,16.7,7.8,1.6
459,resort #460,8.4,14.4,10.0,3.0
460,resort #461,18.5,13.9,10.0,5.6
461,resort #462,12.7,12.2,7.2,5.0
462,resort #463,39.1,8.3,5.0,3.9
463,resort #464,0.8,13.3,6.1,3.1
464,resort #465,0.0,12.2,6.1,2.4
465,resort #466,9.4,15.0,8.9,6.4
466,resort #467,1.5,12.2,6.7,3.8
467,resort #468,9.7,7.8,4.4,4.6
468,resort #469,9.4,10.6,3.3,5.7
469,resort #470,5.8,12.8,4.4,2.3
470,resort #471,0.0,13.9,4.4,2.4
471,resort #472,0.3,13.9,3.3,2.6
472,resort #473,0.0,15.0,3.9,3.3
473,resort #474,5.3,11.7,6.7,4.0
474,resort #475,20.6,13.3,9.4,4.9
475,resort #476,0.0,13.9,8.3,5.8
476,resort #477,3.3,12.2,6.7,4.1
477,resort #478,0.0,16.1,5.0,4.3
478,resort #479,0.0,17.8,3.9,2.8
479,resort #480,0.0,21.1,6.1,3.0
480,resort #481,0.0,21.7,6.7,1.1
481,resort #482,0.0,20.6,8.3,2.2
482,resort #483,0.0,13.9,10.6,5.9
483,resort #484,1.0,15.0,9.4,5.2
484,resort #485,3.8,13.9,6.7,4.2
485,resort #486,0.0,12.8,4.4,2.4
486,resort #487,0.0,18.3,3.3,3.1
487,resort #488,0.0,20.6,6.7,4.0
488,resort #489,0.0,21.7,9.4,4.9
489,resort #490,0.0,25.0,11.1,6.5
490,resort #491,0.0,28.9,11.7,5.3
491,resort #492,0.0,30.6,12.2,2.0
492,resort #493,0.0,20.6,11.1,3.3
493,resort #494,0.0,19.4,11.1,1.9
494,resort #495,0.0,22.8,10.0,1.3
495,resort #496,0.0,26.1,9.4,1.0
496,resort #497,0.0,27.2,12.2,2.6
497,resort #498,6.6,21.7,13.9,3.9
498,resort #499,3.3,18.9,9.4,5.0
499,resort #500,0.0,18.3,7.8,2.4
500,resort #501,1.0,17.2,8.9,2.3
501,resort #502,0.0,21.7,12.2,2.7
502,resort #503,0.5,17.2,11.7,3.7
503,resort #504,0.0,16.7,11.1,2.9
504,resort #505,0.0,18.3,10.6,2.3
505,resort #506,0.0,19.4,9.4,1.8
506,resort #507,13.7,15.6,8.3,4.8
507,resort #508,13.7,11.1,7.2,3.0
508,resort #509,4.1,12.2,6.7,1.9
509,resort #510,0.3,16.7,8.9,2.7
510,resort #511,0.0,17.8,10.0,2.7
511,resort #512,1.5,18.3,10.6,2.2
512,resort #513,9.7,16.7,11.1,3.1
513,resort #514,0.5,17.2,11.7,2.8
514,resort #515,5.6,16.1,9.4,4.0
515,resort #516,0.0,16.7,9.4,5.3
516,resort #517,0.0,19.4,11.1,2.5
517,resort #518,0.0,22.8,12.2,2.5
518,resort #519,1.0,20.6,12.2,3.1
519,resort #520,0.0,22.2,11.1,2.9
520,resort #521,0.0,26.1,12.2,3.4
521,resort #522,0.0,26.7,14.4,3.1
522,resort #523,0.0,26.7,12.2,2.5
523,resort #524,0.0,21.7,13.3,3.2
524,resort #525,0.0,20.6,12.8,3.1
525,resort #526,0.0,20.6,11.1,3.7
526,resort #527,0.0,21.7,11.7,3.2
527,resort #528,0.0,20.0,10.0,5.7
528,resort #529,0.3,20.6,11.7,4.2
529,resort #530,0.0,21.1,11.7,2.6
530,resort #531,0.0,20.0,12.2,3.7
531,resort #532,0.0,25.6,10.0,2.9
532,resort #533,0.0,23.9,12.8,3.4
533,resort #534,0.0,25.6,13.9,3.0
534,resort #535,0.3,23.3,13.3,3.4
535,resort #536,0.0,20.0,12.8,3.7
536,resort #537,3.0,17.2,12.8,5.0
537,resort #538,0.3,20.6,12.2,1.5
538,resort #539,0.0,25.6,11.7,1.7
539,resort #540,7.9,22.2,15.0,2.1
540,resort #541,4.8,21.1,13.9,3.7
541,resort #542,9.9,23.3,14.4,2.8
542,resort #543,2.0,22.2,15.0,2.3
543,resort #544,3.6,21.1,16.7,1.3
544,resort #545,0.0,30.6,16.1,2.2
545,resort #546,0.0,30.0,18.3,1.7
546,resort #547,0.0,33.9,17.2,2.5
547,resort #548,0.0,31.7,18.3,2.3
548,resort #549,0.0,28.3,15.6,3.0
549,resort #550,0.0,26.1,16.7,3.2
550,resort #551,0.0,21.7,13.9,2.2
551,resort #552,0.0,23.3,13.9,2.6
552,resort #553,0.0,26.1,13.3,2.2
553,resort #554,0.0,23.9,13.9,2.9
554,resort #555,0.0,26.7,13.3,2.8
555,resort #556,0.0,30.0,15.0,2.5
556,resort #557,0.0,22.2,13.9,2.6
557,resort #558,0.0,22.8,12.2,3.0
558,resort #559,0.0,19.4,13.3,2.2
559,resort #560,0.0,26.1,11.1,3.1
560,resort #561,0.0,27.8,12.8,3.0
561,resort #562,0.0,27.8,14.4,4.6
562,resort #563,0.0,31.1,18.3,4.1
563,resort #564,0.0,22.2,15.0,3.7
564,resort #565,0.0,26.1,13.9,2.0
565,resort #566,0.0,27.8,13.3,1.9
566,resort #567,0.0,25.0,13.3,2.0
567,resort #568,0.0,23.9,12.8,2.3
568,resort #569,0.0,26.1,13.3,2.4
569,resort #570,0.0,31.1,13.9,3.0
570,resort #571,0.0,31.1,14.4,2.5
571,resort #572,0.0,31.1,12.8,2.3
572,resort #573,0.0,31.1,14.4,2.9
573,resort #574,0.0,25.6,12.8,2.6
574,resort #575,0.0,21.1,12.2,3.4
575,resort #576,0.0,25.0,13.3,1.4
576,resort #577,0.0,25.0,13.3,2.8
577,resort #578,0.0,21.7,13.3,1.8
578,resort #579,0.0,20.6,13.3,3.9
579,resort #580,2.0,17.2,15.0,2.0
580,resort #581,0.0,25.0,15.6,2.4
581,resort #582,0.0,28.9,15.0,3.4
582,resort #583,0.0,30.0,15.0,2.1
583,resort #584,0.0,30.6,13.9,1.4
584,resort #585,0.0,31.1,13.9,1.9
585,resort #586,0.0,28.3,14.4,2.5
586,resort #587,0.0,28.3,14.4,2.1
587,resort #588,2.3,25.6,15.0,2.9
588,resort #589,0.0,25.0,14.4,2.9
589,resort #590,0.0,25.6,16.1,1.9
590,resort #591,0.0,27.8,15.0,1.8
591,resort #592,0.8,27.2,15.0,2.0
592,resort #593,1.8,21.1,17.2,1.0
593,resort #594,0.0,28.9,16.1,2.2
594,resort #595,0.0,25.6,17.2,3.0
595,resort #596,0.0,26.1,15.6,3.1
596,resort #597,0.0,26.7,15.6,3.0
597,resort #598,0.0,25.6,16.1,4.6
598,resort #599,0.0,27.8,15.0,4.3
599,resort #600,0.0,28.9,15.0,1.9
600,resort #601,0.0,25.0,16.1,4.1
601,resort #602,0.0,25.0,16.7,2.7
602,resort #603,0.3,22.2,16.1,2.6
603,resort #604,1.0,24.4,16.1,1.9
604,resort #605,1.3,26.7,17.2,1.4
